City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.7435,-97.8558,-9.24,59,20,14.97,CA,2022-02-03 00:41:46
1,Lerwick,60.1545,-1.1494,44.6,93,100,12.41,GB,2022-02-03 00:44:07
2,Barranca,-10.75,-77.7667,70.84,77,24,8.86,PE,2022-02-03 00:44:07
3,Bengkulu,-3.8004,102.2655,78.35,80,75,3.91,ID,2022-02-03 00:44:07
4,Albany,42.6001,-73.9662,41.58,77,100,3.38,US,2022-02-03 00:41:05
5,Mar Del Plata,-38.0023,-57.5575,71.62,83,75,5.75,AR,2022-02-03 00:42:25
6,Manokwari,-0.8667,134.0833,80.35,75,73,3.74,ID,2022-02-03 00:44:08
7,Tuktoyaktuk,69.4541,-133.0374,-22.0,76,75,12.66,CA,2022-02-03 00:44:08
8,Puerto Ayora,-0.7393,-90.3518,75.54,93,0,1.99,EC,2022-02-03 00:44:08
9,Qaanaaq,77.484,-69.3632,-10.7,83,100,6.93,GL,2022-02-03 00:44:09
10,Punta Arenas,-53.15,-70.9167,48.31,71,75,3.44,CL,2022-02-03 00:40:01
11,Mataura,-46.1927,168.8643,58.48,91,100,3.62,NZ,2022-02-03 00:44:09
12,Castro,-24.7911,-50.0119,63.57,96,1,6.29,BR,2022-02-03 00:44:09
13,San Patricio,28.017,-97.5169,73.81,83,100,5.95,US,2022-02-03 00:39:14
14,Vao,-22.6667,167.4833,78.37,71,100,9.89,NC,2022-02-03 00:39:29
15,Lalganj,25.8667,85.1833,53.55,60,14,6.96,IN,2022-02-03 00:44:10
16,Sao Joao Da Barra,-21.6403,-41.0511,74.71,91,100,6.42,BR,2022-02-03 00:42:24
17,Bonthe,7.5264,-12.505,76.59,91,15,4.16,SL,2022-02-03 00:44:10
18,Arraial Do Cabo,-22.9661,-42.0278,75.25,88,100,4.25,BR,2022-02-03 00:43:05
19,Dingle,10.9995,122.6711,80.74,78,70,13.09,PH,2022-02-03 00:42:28
20,Bambous Virieux,-20.3428,57.7575,80.85,89,75,29.93,MU,2022-02-03 00:44:11
21,Ushuaia,-54.8,-68.3,42.46,65,75,24.16,AR,2022-02-03 00:44:11
22,Saint-Philippe,-21.3585,55.7679,80.19,95,100,34.02,RE,2022-02-03 00:44:11
23,Butaritari,3.0707,172.7902,81.79,78,100,16.22,KI,2022-02-03 00:44:12
24,Lebu,-37.6167,-73.65,60.15,88,81,10.4,CL,2022-02-03 00:44:12
25,Jamestown,42.097,-79.2353,40.32,65,100,5.01,US,2022-02-03 00:44:12
26,Port Alfred,-33.5906,26.891,73.54,92,100,8.9,ZA,2022-02-03 00:44:12
27,Bathsheba,13.2167,-59.5167,77.61,78,75,16.11,BB,2022-02-03 00:44:13
28,Yellowknife,62.456,-114.3525,-24.45,76,20,4.61,CA,2022-02-03 00:39:48
29,Ati,13.2154,18.3353,62.62,13,5,9.66,TD,2022-02-03 00:44:13
30,Upernavik,72.7868,-56.1549,-8.97,67,100,8.77,GL,2022-02-03 00:44:13
31,Rikitea,-23.1203,-134.9692,78.6,73,84,7.74,PF,2022-02-03 00:40:00
32,Hermanus,-34.4187,19.2345,65.89,86,0,10.85,ZA,2022-02-03 00:44:14
33,Taoudenni,22.6783,-3.9836,63.32,21,89,11.36,ML,2022-02-03 00:44:14
34,Nanortalik,60.1432,-45.2371,13.33,61,100,9.84,GL,2022-02-03 00:42:44
35,Mutoko,-17.397,32.2268,63.18,92,80,2.24,ZW,2022-02-03 00:44:14
36,Salamiyah,35.0113,37.0532,48.99,49,100,15.68,SY,2022-02-03 00:44:15
37,Fairbanks,64.8378,-147.7164,-11.02,72,0,0.0,US,2022-02-03 00:41:46
38,Bethel,41.3712,-73.414,40.41,85,100,0.0,US,2022-02-03 00:44:15
39,Iberia,29.9502,-91.7507,71.67,73,100,5.75,US,2022-02-03 00:41:21
40,Avarua,-21.2078,-159.775,84.25,79,75,18.41,CK,2022-02-03 00:44:17
41,Constitucion,-35.3333,-72.4167,58.12,87,69,5.48,CL,2022-02-03 00:44:17
42,Oranjestad,12.524,-70.027,78.75,83,20,18.41,AW,2022-02-03 00:42:50
43,Saint-Louis,16.3333,-15.0,80.24,14,2,10.38,SN,2022-02-03 00:44:17
44,Tamandare,-8.7597,-35.1047,79.56,75,46,8.12,BR,2022-02-03 00:44:17
45,Kodiak,57.79,-152.4072,36.91,93,100,8.05,US,2022-02-03 00:44:18
46,Salihorsk,52.7876,27.5415,25.59,95,100,12.77,BY,2022-02-03 00:45:18
47,Khatanga,71.9667,102.5,-36.22,99,36,2.19,RU,2022-02-03 00:45:18
